id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
0,A client looked at the clerk of the solicitor who,A client looked at the clerk of the offices who [MASK],who,singular,BERT,base,BERT-base,clerk,solicitor,office,was,was,1,8,34,2,5
1,A client noticed the hairdresser of the actress who,A client noticed the hairdresser of the salons who [MASK],who,singular,BERT,base,BERT-base,hairdresser,actress,salon,was,was,1,6,22,2,5
2,A customer frowned at the assistant of the pharmacist who,A customer frowned at the assistant of the laboratories who [MASK],who,singular,BERT,base,BERT-base,assistant,pharmacist,laboratory,was,was,1,6,19,2,4
3,A fan looked at the guitarist of the singer who,A fan looked at the guitarist of the bands who [MASK],who,singular,BERT,base,BERT-base,guitarist,singer,band,was,was,1,11,13,3,3
4,A man asked for the apprentice of the builder who,A man asked for the apprentice of the colleges who [MASK],who,singular,BERT,base,BERT-base,apprentice,builder,college,was,were,0,16,10,4,2
5,A man called to the guide of the traveler who,A man called to the guide of the books who [MASK],who,singular,BERT,base,BERT-base,guide,traveler,book,was,was,1,6,14,2,3
6,A man observed the barrister of the criminal who,A man observed the barrister of the offices who [MASK],who,singular,BERT,base,BERT-base,barrister,criminal,office,was,was,1,7,13,2,3
7,A nurse smiled at the psychiatrist of the patient who,A nurse smiled at the psychiatrist of the hospitals who [MASK],who,singular,BERT,base,BERT-base,psychiatrist,patient,hospital,was,was,1,8,14,2,3
8,A registered letter came for the landlord of the businessman who,A registered letter came for the landlord of the houses who [MASK],who,singular,BERT,base,BERT-base,landlord,businessman,house,was,was,1,8,10,2,2
9,A reporter interviewed the bodyguard of the prince who,A reporter interviewed the bodyguard of the palaces who [MASK],who,singular,BERT,base,BERT-base,bodyguard,prince,palace,was,was,1,12,13,3,3
10,A strange woman called to the travelers of the guides who,A strange woman called to the traveler of the hotels who [MASK],who,singular,BERT,base,BERT-base,travelers,guides,hotel,was,was,1,9,14,2,3
11,A student stared at the friend of the lawyer who,A student stared at the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,lawyer,house,was,was,1,7,16,2,4
13,A student stared at the secretary of the teacher who,A student stared at the secretary of the offices who [MASK],who,singular,BERT,base,BERT-base,secretary,teacher,office,was,was,1,7,21,2,5
14,A thief was keeping an eye on the case of the tourist which   ,A thief was keeping an eye on the case of the defendants which [MASK],which,singular,BERT,base,BERT-base,case,tourist,defendant,was,was,1,8,14,2,3
15,A woman caught the attention of the publicist of the writer who,A woman caught the attention of the publicist of the cities who [MASK],who,singular,BERT,base,BERT-base,publicist,writer,city,was,was,1,12,17,3,4
16,Adam resembled the representative of the employees who,Adam resembled the representative of the conferences who [MASK],who,singular,BERT,base,BERT-base,representative,employees,conference,was,was,1,9,15,2,3
17,Alan punished the accountant of the businessmen who,Alan punished the accountant of the companies who [MASK],who,singular,BERT,base,BERT-base,accountant,businessmen,company,was,were,0,11,8,3,2
18,Alan saw the accountant of the businessmen who,Alan saw the accountant of the companies who [MASK],who,singular,BERT,base,BERT-base,accountant,businessmen,company,was,were,0,13,9,3,2
19,Alice lives next to the surgeon of the soldiers who,Alice lives next to the surgeon of the hospitals who [MASK],who,singular,BERT,base,BERT-base,surgeon,soldiers,hospital,was,was,1,41,190,5,5
20,All of our friends liked the uncle of the student who,All of our friends liked the uncle of the palaces who [MASK],who,singular,BERT,base,BERT-base,uncle,student,palace,was,were,0,13,11,3,3
21,All the newspapers published the photograph of the boy which   ,All the newspapers published the photograph of the painters which [MASK],which,singular,BERT,base,BERT-base,photograph,boy,painter,was,were,0,15,9,3,2
22,Alvaro was spying on the dog of the farmer which   ,Alvaro was spying on the dog of the boys which [MASK],which,singular,BERT,base,BERT-base,dog,farmer,boy,was,was,1,9,18,2,4
23,Amelia photographed the bride of the princess who,Amelia photographed the bride of the weddings who [MASK],who,singular,BERT,base,BERT-base,bride,princess,wedding,was,were,0,15,14,3,3
24,Amelia was photographed with the girlfriend of the singer who,Amelia was photographed with the girlfriend of the weddings who [MASK],who,singular,BERT,base,BERT-base,girlfriend,singer,wedding,was,were,0,18,16,4,4
25,Amilia exchanges letters with the cousin of the singer who,Amilia exchanges letters with the cousin of the inheritences who [MASK],who,singular,BERT,base,BERT-base,cousin,singer,inheritence,was,were,0,121,39,5,5
26,An armed robber shot the maid of the actress who,An armed robber shot the maid of the palaces who [MASK],who,singular,BERT,base,BERT-base,maid,actress,palace,was,was,1,9,53,2,5
27,Andre had dinner with the niece of the porter who,Andre had dinner with the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,porter,poem,was,was,1,12,36,3,5
28,Andres had dinner with the niece of the doorman who,Andres was eating dinner with the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,doorman,poem,was,was,1,9,27,2,5
29,Andrew had dinner yesterday with the nephew of the teachers who,Andrew had dinner yesterday with the nephew of the palaces who [MASK],who,singular,BERT,base,BERT-base,nephew,teachers,palace,was,were,0,14,12,3,3
30,Andrew had dinner yesterday with the niece of the porter who,Andrew ate yesterday with the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,porter,poem,was,was,1,12,25,3,5
31,Andrew was speaking with the niece of the cleaner who,Andrew was speaking with the writer of the poems who [MASK],who,singular,BERT,base,BERT-base,writer,cleaner,poem,was,was,1,10,20,2,4
