id,original_sentence,transformed_sentence,relative_pronoun,number,N1,N2,exchanged_N2
0,A client looked at the clerk of the solicitor who,A client looked at the clerk of the offices who was,who,singular,clerk,solicitor,office
1,A client noticed the hairdresser of the actress who,A client noticed the hairdresser of the salons who was,who,singular,hairdresser,actress,salon
2,A customer frowned at the assistant of the pharmacist who,A customer frowned at the assistant of the laboratories who was,who,singular,assistant,pharmacist,laboratory
3,A fan looked at the guitarist of the singer who,A fan looked at the guitarist of the bands who was,who,singular,guitarist,singer,band
4,A man asked for the apprentice of the builder who,A man asked for the apprentice of the colleges who was,who,singular,apprentice,builder,college
5,A man called to the guide of the traveler who,A man called to the guide of the books who was,who,singular,guide,traveler,book
6,A man observed the barrister of the criminal who,A man observed the barrister of the offices who was,who,singular,barrister,criminal,office
7,A nurse smiled at the psychiatrist of the patient who,A nurse smiled at the psychiatrist of the hospitals who was,who,singular,psychiatrist,patient,hospital
8,A registered letter came for the landlord of the businessman who,A registered letter came for the landlord of the houses who was,who,singular,landlord,businessman,house
9,A reporter interviewed the bodyguard of the prince who,A reporter interviewed the bodyguard of the palaces who was,who,singular,bodyguard,prince,palace
10,A strange woman called to the travelers of the guides who,A strange woman called to the traveler of the hotels who was,who,singular,travelers,guides,hotel
11,A student stared at the friend of the lawyer who,A student stared at the friend of the houses who was,who,singular,friend,lawyer,house
13,A student stared at the secretary of the teacher who,A student stared at the secretary of the offices who was,who,singular,secretary,teacher,office
14,A thief was keeping an eye on the case of the tourist which   ,A thief was keeping an eye on the case of the defendants which was,which,singular,case,tourist,defendant
15,A woman caught the attention of the publicist of the writer who,A woman caught the attention of the publicist of the cities who was,who,singular,publicist,writer,city
16,Adam resembled the representative of the employees who,Adam resembled the representative of the conferences who was,who,singular,representative,employees,conference
17,Alan punished the accountant of the businessmen who,Alan punished the accountant of the companies who was,who,singular,accountant,businessmen,company
18,Alan saw the accountant of the businessmen who,Alan saw the accountant of the companies who was,who,singular,accountant,businessmen,company
19,Alice lives next to the surgeon of the soldiers who,Alice lives next to the surgeon of the hospitals who was,who,singular,surgeon,soldiers,hospital
20,All of our friends liked the uncle of the student who,All of our friends liked the uncle of the palaces who was,who,singular,uncle,student,palace
21,All the newspapers published the photograph of the boy which   ,All the newspapers published the photograph of the painters which was,which,singular,photograph,boy,painter
22,Alvaro was spying on the dog of the farmer which   ,Alvaro was spying on the dog of the boys which was,which,singular,dog,farmer,boy
23,Amelia photographed the bride of the princess who,Amelia photographed the bride of the weddings who was,who,singular,bride,princess,wedding
24,Amelia was photographed with the girlfriend of the singer who,Amelia was photographed with the girlfriend of the weddings who was,who,singular,girlfriend,singer,wedding
